company_number,company_name,year,value,source_url
00102498,BP PLC,2005,619.0,
00102498,BP PLC,2006,567.5,
00102498,BP PLC,2007,615.0,
00102498,BP PLC,2008,526.0,
00102498,BP PLC,2009,600.0,
00102498,BP PLC,2010,465.5499877929687,
04190816,BT GROUP PLC,2016,366.9,
15998687,Barratt Developments,2016,462.4,
02280426,Direct Line Insurance Group,2016,369.4,
02122142,Hargreaves Lansdown,2016,1213.0,
00358949,Morrison Supermarkets,2016,230.7,
00077536,RELX PLC,2016,1449.0,
14240638,Royal Mail,2016,462.1,
04191106,GKN,2016,331.7,
03685527,Intu Properties,2016,281.3,
08338604,Mediclinic International,2016,705.08,
05134647,Micro Focus International,2016,2179.0,
00102498,BP PLC,2011,460.5,
00102498,BP PLC,2012,424.7999877929687,
SC095000,LLOYDS BANKING GROUP PLC,2004,307.2755126953125,
SC095000,LLOYDS BANKING GROUP PLC,2005,317.34478759765625,
SC095000,LLOYDS BANKING GROUP PLC,2006,371.2641906738281,
SC095000,LLOYDS BANKING GROUP PLC,2007,306.6258850097656,
SC095000,LLOYDS BANKING GROUP PLC,2008,81.85350036621094,
SC095000,LLOYDS BANKING GROUP PLC,2009,50.689998626708984,
SC095000,LLOYDS BANKING GROUP PLC,2010,65.69999694824219,
SC095000,LLOYDS BANKING GROUP PLC,2011,25.905000686645508,
SC095000,LLOYDS BANKING GROUP PLC,2012,47.915000915527344,
SC095000,LLOYDS BANKING GROUP PLC,2013,78.87999725341797,
SC095000,LLOYDS BANKING GROUP PLC,2014,75.81999969482422,
SC095000,LLOYDS BANKING GROUP PLC,2015,73.06999969482422,
SC095000,LLOYDS BANKING GROUP PLC,2016,62.5099983215332,
SC045551,Royal Bank of Scotland Group,2014,424.7384033203125,
01397169,PRUDENTIAL PLC,2011,528.8726196289062,
01397169,PRUDENTIAL PLC,2012,716.8978271484375,
01397169,PRUDENTIAL PLC,2013,1109.928466796875,
01397169,PRUDENTIAL PLC,2014,1235.830810546875,
01397169,PRUDENTIAL PLC,2015,1268.1346435546875,
01833679,VODAFONE GROUP PLC,2007,195.80670166015625,
01833679,VODAFONE GROUP PLC,2008,144.9261016845703,
01833679,VODAFONE GROUP PLC,2009,149.82650756835938,
01833679,VODAFONE GROUP PLC,2010,172.8686981201172,
01833679,VODAFONE GROUP PLC,2011,186.52720642089844,
01833679,VODAFONE GROUP PLC,2012,161.03480529785156,
01833679,VODAFONE GROUP PLC,2013,247.1042938232422,
01833679,VODAFONE GROUP PLC,2014,222.6499938964844,
01833679,VODAFONE GROUP PLC,2016,199.8500061035156,
